"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"28917169","Mezclas","2025-04-13 13:07:00","SALIDAS","$0.00","$0.00",NULL,NULL
"29281ddb","Vasos","2025-04-13 15:11:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"2a1fe49c","Mezclas","2025-10-09 18:06:00","SALIDAS","$0.00","$0.00",NULL,NULL
"2a7c677b","Mezclas","2025-07-10 14:16:00","SALIDAS","$0.00","$0.00",NULL,NULL
"2ae893b2","Mezclas","2025-04-17 14:58:00","SALIDAS","$0.00","$0.00",NULL,NULL
"2af07e4c","Dulces","2025-09-25 08:10:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"2bb11278","Vasos y demas","2025-07-24 08:19:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"2c30af8d","Mezclas","2025-11-12 18:12:00","SALIDAS","$0.00","$0.00",NULL,NULL
"2e043c7c","Mezclas","2025-10-01 19:03:00","SALIDAS","$0.00","$0.00",NULL,NULL
"2e9e54b2","Vasos y gomas","2025-06-28 09:08:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"2f5afc8e","Mezclas","2025-09-17 16:56:00","SALIDAS","$0.00","$0.00",NULL,NULL
"2f8c3ceb","Vasos","2025-11-07 18:05:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"3092ca59","Cosas que ya no hay","2025-04-25 16:02:00","SALIDAS","$0.00","$0.00",NULL,NULL
"309d5b3b","Mezclas","2025-09-20 13:15:00","SALIDAS","$0.00","$0.00",NULL,NULL
"30e3d31c","Mezclas","2025-09-10 16:11:00","SALIDAS","$0.00","$0.00",NULL,NULL
"31591bc8","Vasos","2025-09-24 16:34:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"3192e15f","Dulces, vasos y pitillos","2025-04-19 13:07:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"3201d047","Mezclas que ya no están","2025-02-02 15:06:00","SALIDAS","$0.00","$0.00",NULL,NULL
"33610542","INSUMOS","2025-11-06 22:33:00","ENTRADAS","$7,666,845.00","$532,155.00",NULL,NULL
"3366f278","Mezclas","2025-04-25 14:44:00","SALIDAS","$0.00","$0.00",NULL,NULL
"337ede9f","Mezclas","2025-10-12 14:05:00","SALIDAS","$0.00","$0.00",NULL,NULL
"33f665f5","Mezclas","2025-02-19 19:06:00","SALIDAS","$0.00","$0.00",NULL,NULL
"34aedafc","Mezclas","2025-01-31 14:31:00","SALIDAS","$0.00","$0.00",NULL,NULL
"353f11ac","Mezclas","2025-01-15 14:29:00","SALIDAS","$0.00","$0.00",NULL,NULL
"357e0e39","Mezclas","2025-01-02 14:51:00","SALIDAS","$0.00","$0.00",NULL,NULL
"35994496","DULCES","2025-12-10 07:47:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"36d85e42","Mezclas","2025-09-05 13:31:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3708505d","Mezclas","2025-10-26 12:15:00","SALIDAS","$0.00","$0.00",NULL,NULL
"373694b0","Mezclas","2024-12-21 18:25:00","SALIDAS","$0.00","$0.00",NULL,NULL
"37687921","Mezclas","2024-12-13 11:48:00","SALIDAS","$0.00","$0.00",NULL,NULL
"37842da9","Dulces e icopores","2025-12-24 10:59:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"388ad602","Mezclas","2025-07-04 15:24:00","SALIDAS","$0.00","$0.00",NULL,NULL
"395c818f","Mezclas","2025-08-21 15:16:00","SALIDAS","$0.00","$0.00",NULL,NULL
"3967d217","Mezclas","2025-12-23 20:02:00","SALIDAS","$0.00","$0.00",NULL,NULL
