IDorderventas;IDventas;Categoria;Nombre;Cantidad;Precio;Precio total;Estado;Comentarios;Imagen;fecha;SALSA;HELADO;TOPINGS;CategoriaProducto;ImagenUrl;NombreProducto;createdAt;productoId;updatedAt;usuarioId
cmonot848000b2x79z8crp2r6;cmonot6q900072x79mfzycug9;LO MAS VENDIDO;Normal 12 Onz Sin licor;2;$8,000.00;$16,000.00;TOMADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc16.Image.145450.png;Normal 12 Onz Sin licor;NULL;9f390fc16;NULL;cmom4whz80000k0qnjs8qb3sc
cmonrabon000f2x79eqdp2aek;cmonrab2l000d2x796ccpkkmc;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmons09cd000j2x79w8pdrmr2;cmons08q6000h2x79lozsj7e5;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonscxvf000n2x79zspaufd8;cmonscx9d000l2x792gew94rk;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonsu37f0003148nkuawbe9s;cmonsu2l70001148nfcfxnup9;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmont6tuy0003py5v0v7hfsrg;cmont6t8u0001py5v1meobhab;LO MAS VENDIDO;Normal 12 Onz Sin licor;1;$8,000.00;$8,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc16.Image.145450.png;Normal 12 Onz Sin licor;NULL;9f390fc16;NULL;cmom4whz80000k0qnjs8qb3sc
cmont7zhs0007py5vo1jrqwzl;cmont7z6q0005py5vwdaqa6l0;LO MAS VENDIDO;Shot de tequila;1;$5,000.00;$5,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/8a734bcd.Image.232649.jpg;Shot de tequila;NULL;8a734bcd;NULL;cmom4whz80000k0qnjs8qb3sc
cmontoxgc000bpy5vv66a46ay;cmontowow0009py5vkqbk9p4s;LO MAS VENDIDO;Shot de tequila;1;$5,000.00;$5,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/8a734bcd.Image.232649.jpg;Shot de tequila;NULL;8a734bcd;NULL;cmom4whz80000k0qnjs8qb3sc
cmontxovg000fpy5vy5xa1u49;cmontxo9g000dpy5vzjonif7s;CREMOSOS;Cremoso 24 Onz;1;$20,000.00;$20,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;CREMOSOS;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc14.Image.145200.png;Cremoso 24 Onz;NULL;9f390fc14;NULL;cmom4whz80000k0qnjs8qb3sc
cmonualyy000jpy5v5s9e6a7t;cmonuald9000hpy5vg5aoc2p4;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
